sentence_o_count,sentence_r_count,word_o_count,word_r_count,diff_words,similar_words,perplexity_o,perplexity_r,class,relative_diff_sent,relative_diff_word,diff_word,sim_word,diff_perplexity
43,24,604,477,789,146,20.64624596,10.42148876,1,0.441860465,0.210264901,1.306291391,0.241721854,10.2247572
23,40,578,628,824,191,32.11584091,11.93601036,1,-0.739130435,-0.08650519,1.425605536,0.330449827,20.17983055
22,29,585,464,701,174,21.72901726,9.399646759,1,-0.318181818,0.206837607,1.198290598,0.297435897,12.3293705
9,16,627,308,679,128,38.21975327,14.3178215,1,-0.777777778,0.50877193,1.082934609,0.20414673,23.90193177
15,19,577,355,738,97,34.17332077,14.11035252,1,-0.266666667,0.3847487,1.279029463,0.168110919,20.06296825
17,16,571,240,645,83,13.68941212,12.39568329,1,0.058823529,0.579684764,1.129597198,0.145359019,1.29372883
30,23,597,469,792,137,21.18314362,13.43372154,1,0.233333333,0.21440536,1.326633166,0.229480737,7.74942208
12,13,604,263,743,62,13.563447,12.96317387,1,-0.083333333,0.564569536,1.23013245,0.102649007,0.60027313
2,24,513,446,719,120,55.88280869,8.993883133,1,-11,0.130604288,1.401559454,0.233918129,46.88892556
3,22,632,398,834,98,21.47417641,13.27905655,1,-6.333333333,0.370253165,1.319620253,0.155063291,8.19511986
24,25,594,497,817,137,16.54145813,12.38174725,1,-0.041666667,0.163299663,1.375420875,0.230639731,4.15971088
21,20,660,347,767,120,23.11108589,21.50273323,1,0.047619048,0.474242424,1.162121212,0.181818182,1.60835266
3,24,600,524,832,146,37.77626419,11.50068855,1,-7,0.126666667,1.386666667,0.243333333,26.27557564
15,26,604,419,793,115,27.23250198,12.87366962,1,-0.733333333,0.306291391,1.312913907,0.190397351,14.35883236
23,22,596,300,708,94,16.20554352,17.12871361,1,0.043478261,0.496644295,1.187919463,0.157718121,-0.92317009
4,29,605,478,799,142,62.24034119,10.94260025,1,-6.25,0.209917355,1.320661157,0.234710744,51.29774094
15,19,581,341,714,104,24.02414322,15.30174732,1,-0.266666667,0.413080895,1.228915663,0.179001721,8.7223959
21,20,660,379,721,159,27.4515934,15.73935604,1,0.047619048,0.425757576,1.092424242,0.240909091,11.71223736
10,16,595,300,717,89,29.4920845,13.02605724,1,-0.6,0.495798319,1.205042017,0.149579832,16.46602726
28,26,559,465,758,133,28.8061409,13.93167877,1,0.071428571,0.168157424,1.355992844,0.237924866,14.87446213
9,19,754,323,831,123,33.91165924,16.69563293,1,-1.111111111,0.571618037,1.102122016,0.163129973,17.21602631
26,26,674,396,804,133,33.70468903,19.656744,1,0,0.412462908,1.192878338,0.197329377,14.04794503
23,19,482,312,642,76,23.77198029,17.14433289,1,0.173913043,0.352697095,1.331950207,0.157676349,6.6276474
18,25,541,466,703,152,36.64169312,10.05962944,1,-0.388888889,0.138632163,1.299445471,0.280961183,26.58206368
13,14,543,239,670,56,24.38800812,22.00552559,1,-0.076923077,0.55985267,1.23388582,0.103130755,2.38248253
21,20,682,336,778,120,19.68333054,16.79341316,1,0.047619048,0.507331378,1.140762463,0.175953079,2.88991738
14,22,572,355,725,101,18.02335739,16.92781448,1,-0.571428571,0.379370629,1.267482517,0.176573427,1.09554291
4,33,577,581,894,132,14.50545502,9.096782684,1,-7.25,-0.006932409,1.549393414,0.228769497,5.408672336
20,25,591,490,821,130,41.54642105,14.47166443,1,-0.25,0.170896785,1.389170897,0.219966159,27.07475662
78,25,587,436,749,137,30.69969559,12.11289215,1,0.679487179,0.257240204,1.275979557,0.233390119,18.58680344
21,21,607,343,702,124,43.19984818,10.83435059,1,0,0.434925865,1.156507414,0.204283361,32.36549759
17,22,584,378,676,143,28.48640633,11.5359354,1,-0.294117647,0.352739726,1.157534247,0.244863014,16.95047093
20,23,528,365,713,90,17.81907463,17.751297,1,-0.15,0.308712121,1.350378788,0.170454545,0.06777763
2,23,626,401,781,123,96.57824707,12.32136345,1,-10.5,0.35942492,1.247603834,0.196485623,84.25688362
22,27,537,448,785,100,31.2611351,12.80128193,1,-0.227272727,0.165735568,1.461824953,0.186219739,18.45985317
24,30,592,471,785,139,14.44880009,13.22199535,1,-0.25,0.204391892,1.326013514,0.234797297,1.22680474
52,24,623,473,808,144,29.65682602,19.37540627,1,0.538461538,0.240770465,1.296950241,0.231139647,10.28141975
23,25,504,388,632,130,18.22550583,14.07783508,1,-0.086956522,0.23015873,1.253968254,0.257936508,4.14767075
22,28,586,493,765,157,19.17457962,11.85852528,1,-0.272727273,0.158703072,1.305460751,0.267918089,7.31605434
14,14,593,273,690,88,20.19413757,19.18420982,1,0,0.539629005,1.163575042,0.148397976,1.00992775
25,21,559,408,747,110,40.93113327,15.45028973,1,0.16,0.270125224,1.336314848,0.196779964,25.48084354
24,16,619,332,751,100,15.43743515,14.11064243,1,0.333333333,0.46365105,1.213247173,0.161550889,1.32679272
129,38,553,724,965,156,37.02575684,11.7725296,1,0.705426357,-0.309222423,1.745027125,0.282097649,25.25322724
18,25,645,402,809,119,19.6349411,11.77378464,1,-0.388888889,0.376744186,1.254263566,0.184496124,7.86115646
17,26,718,474,794,199,74.53642273,13.45463657,1,-0.529411765,0.339832869,1.105849582,0.277158774,61.08178616
4,17,663,380,821,111,38.59298325,9.596265793,1,-3.25,0.426847662,1.238310709,0.167420814,28.99671746
3,20,735,460,873,161,30.61946297,13.74643135,1,-5.666666667,0.37414966,1.187755102,0.219047619,16.87303162
22,25,532,449,675,153,26.73788071,11.17616177,1,-0.136363636,0.156015038,1.268796992,0.287593985,15.56171894
16,21,570,414,742,121,28.6469574,12.20388985,1,-0.3125,0.273684211,1.301754386,0.212280702,16.44306755
20,22,526,296,672,75,18.00128746,14.35802841,1,-0.1,0.437262357,1.27756654,0.142585551,3.64325905
14,29,563,536,767,166,13.42290974,12.59362221,1,-1.071428571,0.047957371,1.362344583,0.294849023,0.82928753
46,36,528,572,818,141,28.57935905,16.07707787,1,0.217391304,-0.083333333,1.549242424,0.267045455,12.50228118
21,20,642,285,779,74,23.29256058,21.68114471,1,0.047619048,0.556074766,1.213395639,0.115264798,1.61141587
15,15,589,306,723,86,15.56588173,8.953431129,1,0,0.480475382,1.227504244,0.146010187,6.612450601
22,21,559,412,701,135,39.75585556,19.20809555,1,0.045454545,0.262969589,1.254025045,0.241502683,20.54776001
116,23,731,464,865,165,56.92913055,12.78139782,1,0.801724138,0.365253078,1.183310534,0.225718194,44.14773273
20,23,680,397,775,151,22.49086761,12.22021294,1,-0.15,0.416176471,1.139705882,0.222058824,10.27065467
13,23,588,384,706,133,20.17235374,12.44282532,1,-0.769230769,0.346938776,1.200680272,0.226190476,7.72952842
41,21,657,316,771,101,32.04114914,17.54957581,1,0.487804878,0.519025875,1.173515982,0.153729072,14.49157333
13,12,610,227,677,80,27.24143028,30.27706146,1,0.076923077,0.627868852,1.109836066,0.131147541,-3.03563118
21,19,585,266,699,76,14.54182053,14.97043991,1,0.095238095,0.545299145,1.194871795,0.12991453,-0.42861938
51,27,622,673,983,156,26.61718559,14.81779957,1,0.470588235,-0.081993569,1.580385852,0.250803859,11.79938602
59,21,533,287,658,81,90.13816833,17.13960457,1,0.644067797,0.461538462,1.234521576,0.151969981,72.99856376
118,23,569,442,709,151,28.63633156,19.55985451,1,0.805084746,0.223198594,1.246045694,0.265377856,9.07647705
18,32,573,530,839,132,38.51760483,11.12185574,1,-0.777777778,0.07504363,1.464223386,0.230366492,27.39574909
4,32,594,534,806,161,53.24428558,9.56270504,1,-7,0.101010101,1.356902357,0.271043771,43.68158054
19,23,615,442,747,155,19.24609756,10.27565193,1,-0.210526316,0.281300813,1.214634146,0.25203252,8.97044563
107,38,610,690,944,178,30.53751755,16.84478569,1,0.644859813,-0.131147541,1.547540984,0.291803279,13.69273186
4,27,558,499,739,159,57.18722153,12.26340008,1,-5.75,0.105734767,1.32437276,0.284946237,44.92382145
42,25,594,513,747,180,42.30457306,17.04514313,1,0.404761905,0.136363636,1.257575758,0.303030303,25.25942993
4,25,649,486,843,146,18.86257553,11.3643198,1,-5.25,0.251155624,1.298921418,0.224961479,7.49825573
97,28,567,547,786,164,57.32178879,19.29113197,1,0.711340206,0.035273369,1.386243386,0.289241623,38.03065682
23,25,640,458,794,152,23.89777184,13.56914997,1,-0.086956522,0.284375,1.240625,0.2375,10.32862187
10,10,676,206,732,75,32.03054047,24.11177635,1,0,0.695266272,1.082840237,0.110946746,7.91876412
17,17,611,273,750,67,36.88970566,26.76811409,1,0,0.553191489,1.227495908,0.109656301,10.12159157
23,22,496,368,674,95,27.73260307,21.14474869,1,0.043478261,0.258064516,1.358870968,0.191532258,6.58785438
21,21,605,412,797,110,21.29872322,12.07454014,1,0,0.319008264,1.317355372,0.181818182,9.22418308
42,29,550,616,852,157,21.72109795,17.92155457,1,0.30952381,-0.12,1.549090909,0.285454545,3.79954338
20,19,627,311,734,102,22.13543892,25.9359684,1,0.05,0.503987241,1.170653907,0.162679426,-3.80052948
14,15,623,411,784,125,31.94478035,27.14500999,1,-0.071428571,0.340288925,1.258426966,0.200642055,4.79977036
28,26,627,418,775,135,25.39971924,13.9243269,1,0.071428571,0.333333333,1.236044657,0.215311005,11.47539234
17,23,601,498,843,128,23.19192886,17.84477043,1,-0.352941176,0.171381032,1.40266223,0.212978369,5.34715843
19,30,519,432,749,101,24.66978073,13.09700584,1,-0.578947368,0.167630058,1.443159923,0.19460501,11.57277489
17,17,635,353,768,110,18.96685028,21.56767845,1,0,0.444094488,1.209448819,0.173228346,-2.60082817
86,21,594,478,760,156,21.40127563,16.6543541,1,0.755813953,0.195286195,1.279461279,0.262626263,4.74692153
12,21,532,346,678,100,24.25939369,9.49800396,1,-0.75,0.34962406,1.27443609,0.187969925,14.76138973
132,29,548,628,804,186,28.87186623,14.64250374,1,0.78030303,-0.145985401,1.467153285,0.339416058,14.22936249
30,21,570,339,691,109,13.7713728,11.54462433,1,0.3,0.405263158,1.212280702,0.19122807,2.22674847
19,30,543,594,781,178,20.23289299,11.78604317,1,-0.578947368,-0.093922652,1.438305709,0.327808471,8.44684982
27,24,608,430,796,121,34.10004807,14.48737526,1,0.111111111,0.292763158,1.309210526,0.199013158,19.61267281
25,24,581,334,685,115,13.82877636,13.59883499,1,0.04,0.425129088,1.179001721,0.197934596,0.22994137
19,29,669,464,833,150,23.76485634,16.99905586,1,-0.526315789,0.306427504,1.245142003,0.224215247,6.76580048
13,19,587,370,745,106,18.59233665,13.057621,1,-0.461538462,0.36967632,1.269165247,0.180579216,5.53471565
43,27,604,513,755,181,29.23204613,15.53377533,1,0.372093023,0.150662252,1.25,0.299668874,13.6982708
